stationID,Formula,Latest,Today,7 days,Month,Year
56,AVG(% RH),45.1,53.1,87.0,80.0,80.4
56,AVG(mps),-,-,-,-,-
56,AVG(hPa),-,-,-,-,-
56,MAX(mps),-,-,-,-,-
56,SUM(mm),-,-,-,221.4,6709.8
56,AVG(C),30.9,29.8,22.4,23.1,23.0
