stationID,Formula,Latest,Today,7 days,Month,Year
72,AVG(% RH),89.9,88.7,82.2,81.8,82.3
72,AVG(mps),0.0,0.6,0.3,0.5,0.5
72,AVG(hPa),886.2,885.4,883.3,883.5,882.1
72,MAX(mps),0.00,5.00,5.00,5.00,7.50
72,SUM(mm),0.0,0.0,0.0,5.8,15.6
72,AVG(C),18.2,19.2,19.5,22.1,22.3
