stationID,Formula,Latest,Today,7 days,Month,Year
58,AVG(% RH),-,-,65.9,65.3,66.4
58,AVG(mps),2.5,2.4,0.9,1.1,1.1
58,AVG(hPa),-,-,-,-,-
58,MAX(mps),5.00,7.50,7.50,7.50,7.50
58,SUM(mm),0.0,0.0,0.0,0.4,0.4
58,AVG(C),-,-,27.2,28.1,27.8
