STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
72,"2021-03-21,18:15",23.1,79.8,0.014784,0,-,0,23.68,879.6
72,"2021-03-21,19:15",19,90.8,0.005464,2.5,-,0,23.25,881.4
72,"2021-03-21,20:30",19,93.2,-,0,294.074,0,22.37,880.9
72,"2021-03-21,20:45",18.9,92.8,-,0,342.825,0,22.37,881.1
72,"2021-03-21,21:30",18.7,93.6,-,0,86.061,0,22.06,880.8
72,"2021-03-21,22:15",18.9,91.3,-,0,85.426,0,21.93,880.6
72,"2021-03-21,22:30",19.2,88.5,-,0,85.426,0,21.93,880.6
72,"2021-03-21,23:15",19.5,90.2,-,0,98.4,0,21.87,881.3
72,"2021-03-21,23:45",19.4,92,-,0,96.872,0,21.81,881.4
72,"2021-03-21,24:00",19.4,93.5,-,0,97.355,0,21.81,881.4
72,"2021-03-22,00:30",19.8,90.6,-,0,97.749,0,21.81,881.6
72,"2021-03-22,00:45",19.7,92.8,-,0,97.544,0,21.81,881.6
72,"2021-03-22,02:15",20.4,90.9,0.001,0,-,0,21.75,881.5
72,"2021-03-22,02:30",20.3,91.9,0.001,0,-,0,21.75,881.6
72,"2021-03-22,09:15",24.8,71.6,0.003248,2.5,-,0,23.25,883.6
72,"2021-03-22,11:15",26.7,69.5,0.019248,2.5,-,0,27.18,884.2
72,"2021-03-22,13:15",19.6,92.3,0.006784,0,-,0,24.25,883.4
72,"2021-03-22,16:15",24.8,64.8,0,24.68,880.6,,,
72,"2021-03-22,16:30",24.9,68.7,0,24.75,880.6,,,
72,"2021-03-22,17:15",24.2,68.3,0.024784,0,-,0,24.93,880.8
72,"2021-03-22,18:15",23.5,72.6,0.003784,0,-,0,24.68,881.2
72,"2021-03-22,19:15",21.8,77.7,0.032392,0,-,0,24.06,881.7
72,"2021-03-22,19:45",21.3,82.1,-,0,78.195,0,23.68,882.1
72,"2021-03-22,20:00",21.2,79.1,-,0,78.195,0,23.68,882.2
72,"2021-03-22,20:30",-,0,184.412,0,23.18,882.6,,
72,"2021-03-22,20:45",20.5,86.8,-,0,182.941,0,23.12,882.7
72,"2021-03-22,21:30",21.7,78.5,-,5,3.881,0,22.68,883.7
72,"2021-03-22,22:15",20.5,80.2,-,0,77.338,0,22.31,883.3
72,"2021-03-22,22:30",20.2,82.7,-,0,77.71,0,22.31,883.3
72,"2021-03-22,23:00",19.9,85.1,-,0,78.054,0,22.12,883.1
72,"2021-03-22,23:45",19.9,85.2,-,0,76.774,0,21.87,883.3
72,"2021-03-22,24:00",20,81.7,-,0,76.327,0,21.87,883.3
72,"2021-03-23,00:30",19.5,86.4,-,0,77.479,0,21.68,883
72,"2021-03-23,00:45",-,0,119.007,0,21.68,882.9,,
72,"2021-03-23,01:30",20.1,87.7,-,0,86.787,0,21.56,882.8
72,"2021-03-23,01:45",20,88.5,-,0,86.787,0,21.56,882.8
72,"2021-03-23,02:15",19.6,90.7,-,0,178.077,0,21.5,882.7
72,"2021-03-23,03:15",19.3,92.1,0,21.43,882.3,,,
72,"2021-03-23,03:30",19.5,89.6,0,21.43,882.2,,,
72,"2021-03-23,04:15",19.6,91.6,0,21.37,882,,,
72,"2021-03-23,04:30",19.9,89.4,0,21.31,882.1,,,
72,"2021-03-23,04:45",19.9,89.3,0,21.37,882.2,,,
72,"2021-03-23,05:30",19.9,92.5,0,21.31,882.4,,,
72,"2021-03-23,05:45",19.7,92.7,0,21.25,882.5,,,
72,"2021-03-23,6:00",19.8,93.4,0,21.25,882.5,,,
72,"2021-03-24,00:30",20.4,94.9,-,0,242.326,0,21.12,883.9
72,"2021-03-24,00:45",20.3,95.5,-,0,177.183,0,21.12,883.7
72,"2021-03-24,01:30",19.5,97.6,-,0,176.891,0,21,883.3
72,"2021-03-24,02:15",19.6,97.5,0,20.81,883,,,
72,"2021-03-24,02:30",19.3,98.3,0,20.75,882.8,,,
72,"2021-03-24,02:45",19.2,98.4,0,20.68,883,,,
72,"2021-03-24,05:15",18.5,98,0,20,883.3,,,
72,"2021-03-24,06:15",19,97.4,0,19.75,883.8,,,
72,"2021-03-24,08:30",24.6,76.6,0,20.62,885.4,,,
72,"2021-03-24,08:45",24,79.8,0.011784,0,-,0,21.18,885.3
72,"2021-04-01,12:15",26.8,69,0.022248,2.5,-,0,29.43,884.6
72,"2021-04-01,12:30",28.4,66.8,0.020248,5,-,0,29.62,884.4
72,"2021-04-01,12:45",27.1,67.5,0.020248,2.5,-,0,29.68,884.4
72,"2021-04-01,13:15",27.4,70.4,0.023248,2.5,-,0,29.93,883.8
72,"2021-04-01,14:15",27.4,66.6,0.017248,2.5,-,0,30.12,883.1
72,"2021-04-01,15:15",0,68.5,0.010248,2.5,-,0,30.25,882.6
72,"2021-04-01,16:15",27,67.1,-,-,-,0,30,882.2
72,"2021-04-01,16:45",26.7,69.5,-,-,-,0,29.62,881.7
72,"2021-04-01,18:15",25.1,73.9,-,-,-,0,28.06,881.7
72,"2021-04-01,18:45",23.6,79,0.00032,2.5,-,0,27.18,881.9
72,"2021-04-01,20:30",22.6,83.8,-,2.5,156.296,0,25.56,882.5
