RTC_T=2021-05-26,14:58:57 &: NAME=RTC_T=2021-05-26,14:59:55 TXT=pls-2m  PS=1 V_IN=3.94  T_SHT2X=30.20 RH_SHT2X=49.82 [ADDR=180.12 SEQ=63 TTL=15 RSSI=25 LQI=255]
RTC_T=2021-06-13,16:21:44 &: NAME=RTC_T=2021-06-13,16:21:45 &: NAME=plr-gnd E64=fcc23d0000017d38 V_IN=4.09 V_A1=1.70 V_A2=2.93 P=898.40 T1=28.43 P0_LST60=0 P0_LST=1143 [ADDR=252.194 SEQ=193 TTL=15 RSSI=60 LQI=255]
RTC_T=2021-06-23,10:33:33 &: NAME=RTC_T=2021-06-23,10:34:18 &: NAME=kwd-gnd E64=fcc23d000001
RTC_T=RTC_T=2021-06-26,20:TXT=adl-elec RSSI=-69.000000 QUAL=0.000000 FILE_SIZE=127580
