RTC_T=2021-01-31,17:03:35 &: NAME=bdd-gnd E64=fcc23d0000000ea0 V_IN=3.76 #E_wv(V_A1) #E_wv(V_A2) P=869.20 T1=26.56 P0_LST60=0 P0_LST=0 [ADDR=252.194 SEQ=60 TTL=15 RSSI=32 LQI=255]
RTC_T=2021-01-31,17:04:28 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=2.60 V_A2=2.83 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=89 TTL=15 RSSI=24 LQI=255]
RTC_T=2021-01-31,17:04:28 NAME=bdd-sink V_IN=3.88 T=0.00  V_MCU=3.08 REPS=10 UP_TIME=0.00
RTC_T=2021-01-31,17:04:28 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=2.60 V_A2=2.83 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=89 TTL=14 RSSI=56 LQI=255]
RTC_T=2021-01-31,17:07:29 TXT=bdd-elec RSSI=-67.000000 QUAL=-12.000000 FILE_SIZE=1197
RTC_T=2021-01-31,17:05:28 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=2.57 V_A2=2.82 windSpeed=0.00 ADC_1=-0.009000 [ADDR=252.194 SEQ=93 TTL=15 RSSI=21 LQI=255]
RTC_T=2021-01-31,17:05:28 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=2.57 V_A2=2.82 windSpeed=0.00 ADC_1=-0.009000 [ADDR=252.194 SEQ=93 TTL=14 RSSI=56 LQI=255]
RTC_T=2021-01-31,17:06:28 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=2.49 V_A2=2.83 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=97 TTL=15 RSSI=36 LQI=255]
RTC_T=2021-01-31,17:07:29 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=2.49 V_A2=2.82 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=101 TTL=15 RSSI=33 LQI=255]
RTC_T=2021-01-31,17:07:29 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=2.49 V_A2=2.82 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=101 TTL=14 RSSI=66 LQI=255]
RTC_T=2021-01-31,17:07:29 TXT=bdd-2m  PS=1 V_IN=3.47  T_SHT2X=31.27 RH_SHT2X=31.30 [ADDR=73.93 SEQ=40 TTL=15 RSSI=48 LQI=255]
RTC_T=2021-01-31,17:07:29 TXT=bdd-2m  PS=1 V_
RTC_T=2021-01-31,17:07:29 NAME=bdd-sink V_IN=3.88 T=0.00  V_MCU=3.08 REPS=20 UP_TIME=0.00
RTC_T=2021-01-31,17:46:02 TXT=bdd-elec RSSI=-72.000000 QUAL=-12.000000 FILE_SIZE=30154
RTC_T=2021-01-31,17:08:59 TXT=bdd-2m  PS=1 V_IN=3.47  T_SHT2X=31.48 RH_SHT2X=32.20 [ADDR=73.93 SEQ=46 TTL=14 RSSI=63 LQI=255]
RTC_T=2021-01-31,17:08:59 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=0.21 V_A2=2.83 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=107 TTL=15 RSSI=36 LQI=255]
RTC_T=2021-01-31,17:08:59 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=0.21 V_A2=2.83 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=107 TTL=14 RSSI=63 LQI=255]
RTC_T=2021-01-31,17:09:59 TXT=bdd-2m  PS=1 V_IN=3.47  T_SHT2X=31.66 RH_SHT2X=34.70 [ADDR=73.93 SEQ=50 TTL=15 RSSI=60 LQI=255]
RTC_T=2021-01-31,17:09:59 TXT=bdd-2m  PS=1 V_IN=3.47  T_SHT2X=31.66 RH_SHT2X=34.70 [ADDR=73.93 SEQ=50 TTL=14 RSSI=62 LQI=255]
